age,C1orf132_CpG2,CCDC102B_CpG1,CCDC102B_CpG2,EDARADD_CpG2,ELOVL2_CpG1,ELOVL2_CpG2,ELOVL2_CpG3,ELOVL2_CpG7,FHL2_CpG1
19,83.57,47.97,16.9,42.78,27.76,27.29,54.06,52.61,26.93
20,81.19,43.61,20.18,48.37,34.93,33.54,59.63,58.48,26.79
23,81.36,54.15,34.53,39.61,32.33,30.91,61.83,62.9,38.85
25,83.17,37.89,23.11,47.77,39.92,35.61,62.82,60.52,30.13
26,82.18,33.56,24.59,40.56,35.23,32.8,59.4,59.88,31.52
28,78.72,39.08,30.82,44.23,35.69,36.2,63.94,72.9,40.16
29,79.06999999999998,32.97,25.35,39.81,42.24,40.07,68.22,71.09,35.83
30,74.29,43.41,29.01,39.64,38.35,34.51,67.45,71.01000000000002,34.22
33,62.78,31.69,21.35,32.82,46.61,44.04,75.23,81.62,55.16
35,71.17,37.67,18.3,34.24,43.86,37.38,69.86,70.25,33.62
36,83.75,41.99,31.24,45.1,44.51,39.52,68.23,70.37,33.01
39,61.04,17.7,11.69,26.03,52.0,50.87,79.91,86.48,54.47
40,60.33,38.38,22.26,33.73,46.1,42.04,71.59,73.45,43.3
41,71.59,33.9,24.04,38.36,44.07,41.5,69.86,74.84,31.89
42,73.98999999999998,27.21,23.63,27.71,38.69,34.58,66.82,71.41,35.33
44,65.16,29.82,23.23,30.22,43.73,42.63,71.92,77.17,42.45
45,70.39,41.55,25.77,39.14,43.72,46.29,74.63,77.8,43.5
50,67.05,33.57,21.52,31.27,44.92,41.18,65.92,72.78,40.55
52,64.34,32.7,22.36,26.19,51.79,51.47,77.58,82.44,49.36
54,60.59,31.37,20.17,29.52,48.73,49.37,77.48,80.94,43.77
57,60.91,20.43,16.1,29.38,51.62,49.98,79.33,83.38,46.93
58,71.7,25.96,18.77,32.48,50.05,48.92,77.95999999999998,81.99,42.95
59,70.28,41.73,26.82,28.22,53.49,52.13,80.84,86.12,52.85
60,62.64,25.8,19.39,20.29,45.23,46.49,74.48,81.34,47.35
62,57.58,30.75,21.96,23.27,50.15,49.85,79.15,86.5,51.7
62,55.2,23.59,13.09,31.34,48.7,44.83,76.73,81.25,54.11
63,71.06999999999998,25.93,19.89,28.24,44.67,42.71,67.95,80.67,47.24
65,77.98999999999998,33.07,23.77,34.3,43.37,40.03,70.68000000000002,74.56,41.17
19,88.22,48.91,32.09,51.88,40.21,37.36,64.59,56.98,35.18
19,88.74,54.53,32.03,50.2,36.9,33.82,58.69,42.47,27.62
20,89.87,49.2,28.14,24.14,35.84000000000001,32.9,59.18,46.1,30.99
20,83.76,50.57,33.75,45.71,34.98,31.8,57.23,48.05,35.82
28,80.5,39.44,27.97,37.16,39.92,36.31,61.01,50.42,33.94
31,74.89,36.6,27.99,50.2,45.2,37.99,64.67,62.78,35.54
32,76.81999999999998,36.79,26.16,35.69,43.37,42.95,66.25,64.72,35.59000000000001
34,74.95,33.62,19.59,34.32,27.63,45.72,70.69,62.63,36.54
35,76.65,37.6,28.49,33.8,48.02,42.54,72.41,68.98,36.89
37,68.8,30.77,21.99,31.49,44.71,44.83,69.4,63.26,37.63
38,75.59999999999998,40.01,23.38,40.54,55.1,50.76,72.8,69.65,43.34
39,74.03,36.51,21.25,29.6,48.42,46.32,71.47,64.99,37.49
41,69.34,34.81,18.45,30.68,46.18,44.16,71.16,60.63,42.13
43,72.48,31.9,22.87,26.47,53.77,51.38,75.31999999999998,70.77,43.13
45,69.18,35.27000000000001,22.73,27.7,50.01,47.5,75.16,60.35,43.58
47,67.95,37.29,21.09,37.59,51.7,48.07,76.43,72.98999999999998,43.09
48,67.94,29.83,16.34,30.66,49.25,47.45,77.62,73.12,39.72
49,75.25,33.17,23.16,36.13,54.47,48.4,75.05,68.53,43.72
50,87.17,32.66,21.72,40.89,54.14,52.8,76.31,69.91,48.62
52,70.44,33.71,22.72,40.17,55.95,50.14,75.61,68.49,44.59
53,63.84,33.75,22.33,32.11,52.46,52.11,77.31,66.96,48.76
54,73.75,38.2,21.24,34.18,57.97,54.6,78.95999999999998,72.53,43.43
55,63.4,31.77,23.26,30.13,54.86,52.83,80.63,78.12,48.69
56,54.72,38.31,24.95,28.92,54.09,51.12,80.81,81.03,55.43
57,65.58,33.37,17.829999999999995,24.0,58.53,54.78,80.77,76.73999999999998,46.89
58,59.26,35.16,23.88,30.58,61.07,58.35,80.53,75.89,49.72
58,63.74,23.13,16.04,30.61,62.82,54.87,85.46,80.37,44.64
59,66.06,30.91,21.55,20.87,53.86,49.2,72.63,71.17,49.45
62,50.53,33.69,21.85,28.27,66.51,58.38,87.7,86.27,46.71
64,68.31,20.01,12.85,28.1,55.18,55.05,81.17,80.18,61.22
21,79.17,43.09,32.7,44.74,36.57,31.87,60.05,63.43,32.68
23,83.06,42.01,32.4,41.31,40.76,40.82,63.52,65.61,32.67
24,66.36,41.49,29.54,40.17,39.19,29.66,49.29,59.85,29.09
26,77.28,39.55,20.13,46.31,33.64,31.74,55.16,62.31,38.16
30,76.59999999999998,35.27000000000001,27.19,47.82,44.43,38.99,67.53,67.77,35.35
31,81.15,41.16,28.29,46.14,41.78,39.56,66.47,70.15,40.41
32,71.53,37.66,27.64,35.19,37.77,35.54,66.15,68.58,33.44
32,79.43,37.03,31.5,39.99,38.02,37.32,67.14,68.32,39.08
34,69.47,38.29,31.31,36.01,32.7,35.70000000000001,67.13,70.32,30.78
38,68.43,30.76,13.95,34.51,38.2,37.7,66.46,66.35,31.95
41,73.64,38.19,25.93,30.92,45.07,38.0,70.14,76.13,38.75
43,70.74,28.59,17.25,32.42,49.76,45.68,72.23,76.73999999999998,46.24
45,67.86,40.3,26.68,27.71,46.79,44.56,72.39,77.59999999999998,45.09
46,56.49,26.14,10.91,28.36,44.81,41.85,74.52,77.79,42.16
47,59.14,36.73,17.86,37.62,43.07,38.52,66.39,72.53,48.89
48,76.73999999999998,35.0,24.02,29.99,52.21,46.47,76.23,80.66,41.9
51,68.84,27.03,9.46,32.0,53.3,48.55,77.2,81.3,48.01
53,70.68000000000002,33.61,15.71,33.94,45.54,43.62,76.86,80.86,43.43
55,56.07,25.74,17.46,35.21,45.59,46.15,73.62,82.08,45.14
56,66.66,26.34,20.48,33.17,46.39,44.78,74.15,79.45999999999998,45.34
64,56.28,37.21,19.45,35.98,49.94,47.91,76.47,82.29,47.6
60,70.01,19.67,14.33,39.32,50.93,51.71,78.45999999999998,81.22,50.44
21,86.38,38.04,25.68,44.09,39.06,33.12,61.01,45.76,28.97
23,82.48,40.78,25.14,41.23,41.85,39.16,61.44,49.82,30.66
24,81.64,43.31,31.96,45.35,40.6,37.78,61.7,50.92,30.85
25,75.05,36.55,26.41,40.44,39.74,35.52000000000001,61.74,53.83,29.13
25,80.5,39.92,26.27,41.29,40.83,39.36,66.53,61.8,34.76
28,79.28,42.3,29.67,40.99,38.46,35.02,62.05,51.18,30.8
31,81.06999999999998,36.45,27.02,44.87,45.11,44.62,70.66,64.61,36.08
32,77.05,38.07,26.8,40.11,40.83,42.73,67.75,63.23,35.24
35,75.79,30.6,19.19,31.98,47.08,44.64,71.65000000000002,59.02,44.04
38,71.59,37.71,23.94,36.49,46.16,42.12,69.56,67.88,39.14
40,76.19,33.94,25.85,38.63,50.8,47.68,76.48,69.92,34.0
40,76.31,32.74,22.42,35.88000000000001,51.82,48.41,71.65000000000002,60.7,41.8
43,64.97,37.33,22.23,30.76,47.29,43.16,74.12,65.17,41.16
46,75.77,27.77,20.67,30.62,46.41,46.83,72.75,66.53,40.49
46,68.08,38.03,28.44,37.09,55.24,54.68,75.59,72.45999999999998,45.75
47,74.56,30.53,21.51,38.45,55.14,51.42,74.92,68.15,45.23
50,69.14,29.57,21.16,37.03,57.06,49.26,76.69,71.15000000000002,46.41
51,69.36,26.5,18.89,36.89,58.65,54.64,78.14,75.83,46.96
52,66.25,27.19,14.33,36.35,52.19,48.99,76.87,75.95999999999998,44.89
64,78.73999999999998,35.86,25.59,28.15,49.92,48.47,72.97,71.24,39.39
